CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116	ACH-000583	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS	male			undifferentiated B lymphoma	lymphoma_other
NCIH1568_LUNG	NCI-H1568	ACH-000869	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	female	48	caucasian		lung_NSC
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46	ACH-000440	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male				lymphoma_Burkitt
A498_KIDNEY	A-498	ACH-000555	kidney	NS	NS	NS	carcinoma	renal_cell_carcinoma	NS	NS	male	52		renal_cell_carcinoma	kidney
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1	ACH-000923	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS	male	92			lymphoma_other
A673_BONE	A-673	ACH-000052	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	female	15		Ewings_sarcoma	Ewings_Sarcoma
AU565_BREAST	AU565	ACH-000248	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	43	caucasian	breast_cancer	breast
COLO201_LARGE_INTESTINE	COLO 201	ACH-000253	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	70	caucasian	colon_cancer	colorectal
CAPAN1_PANCREAS	Capan-1	ACH-000354	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	40	caucasian		pancreas
NCIH1563_LUNG	NCI-H1563	ACH-000892	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male				lung_NSC
